Empresa;Estado;Produto;Tipo do Produto;Certificação;Tipo Símbolo
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;SPRESS PARA BUNN;TM;Pureza, Qualidade;Tradicional
BUJARI IND. E COM. DE CAFE EIRELI;AC;BUJARI;TM;Pureza, Qualidade;Tradicional
BUJARI IND. E COM. DE CAFE EIRELI;AC;BUJARI;TM;Pureza, Qualidade;Extraforte
BUJARI IND. E COM. DE CAFE EIRELI;AC;GRANADA;TM;Pureza, Qualidade;Extraforte
BUJARI IND. E COM. DE CAFE EIRELI;AC;Q DELICIA;TM;Pureza, Qualidade;Extraforte
BUJARI IND. E COM. DE CAFE EIRELI;AC;TAINA;TM;Pureza, Qualidade;Tradicional
C C I COLNIZA CEREAIS INDUSTRIALIZADOS LTDA;MT;MATUPI;TM;Pureza, Qualidade;Extraforte
CADORO IND. E COM. DE ALIM. LTDA;BA;ALIANCA;TM;Pureza, Qualidade;Extraforte
CADORO IND. E COM. DE ALIM. LTDA;BA;NORDESTINO;TM;Pureza, Qualidade;Tradicional
CADORO IND. E COM. DE ALIM. LTDA;BA;PARAISO;TM;Pureza, Qualidade;Tradicional
CADORO IND. E COM. DE ALIM. LTDA;BA;SAO BRAZ EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CADORO IND. E COM. DE ALIM. LTDA;BA;SAO BRAZ FAMILIA;TM;Pureza, Qualidade;Tradicional
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;2 DE JULHO DESCAFEINADO;TM;Pureza, Qualidade;Superior
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;2 DE JULHO EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;2 DE JULHO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;2 DE JULHO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;MUCUGE;TM;Pureza, Qualidade;Tradicional
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;MUCUGE GOURMET EXPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE 2 DE JULHO IND. DE ALIMS. EIRELI.;BA;MUCUGE PREMIUM GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE ALTA MOGIANA MINEIRA LTDA;MG;CASA BRASIL GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE ALTA MOGIANA MINEIRA LTDA;MG;CASA BRASIL GOURMET GRAO;GR;Pureza, Qualidade;Gourmet
CAFE ALTA MOGIANA MINEIRA LTDA;MG;CASA BRASIL TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ALTA MOGIANA MINEIRA LTDA;MG;RUIZ CLASSICO;TM;Pureza, Qualidade;Superior
CAFE ALTA MOGIANA MINEIRA LTDA;MG;RUIZ GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE ALTA MOGIANA MINEIRA LTDA;MG;RUIZ GOURMET EXPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE ALTA MOGIANA MINEIRA LTDA;MG;RUIZ TRADICIONAL;GR;Pureza, Qualidade;Tradicional
CAFE AMPARO LTDA;SP;AMPARENSE;TM;Pureza, Qualidade;Superior
CAFE AMPARO LTDA;SP;AMPARO;GR;Pureza, Qualidade;Gourmet
CAFE AMPARO LTDA;SP;JOAO DO PO;GR;Pureza, Qualidade;Gourmet
CAFE AMPARO LTDA;SP;JOAO DO PO - MOAGEM FINA;TM;Pureza, Qualidade;Gourmet
CAFE AMPARO LTDA;SP;JOAO DO PO - MOAGEM GROSSA;TM;Pureza, Qualidade;Gourmet
CAFE ANGELANDIA LTDA;MG;ANGELANDIA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE ANGELANDIA LTDA;MG;ANGELANDIA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ANGELANDIA LTDA;MG;FANADO MAIS FORTE;TM;Pureza, Qualidade;Extraforte
